,Address,City,Price,Beds,Baths,Square Feet
0,39631 Iolani Court,Fremont CA 94538,"$1,050,000",3,2,"1,200"
1,39631 Iolani Court,Fremont CA 94538,"$1,050,000",3,2,"1,200"
2,38667 Canyon Heights Dr,Fremont CA 94536,"$1,200,000",4,2,"1,744"
3,38406 Nebo Dr,Fremont CA 94536,"$999,000",3,2,"1,350"
4,3075 Coventry,Tracy CA 94536,"$519,000",4,3,"1,700"
5,35457 Morley Pl,Fremont CA 94536,"$1,250,000",3,2,"1,688"
6,35457 Morley Pl,Fremont CA 94536,"$1,250,000",3,2,"1,688"
7,38104 Cambridge Ct,Fremont CA 94536,"$1,279,000",4,2,"2,240"
8,35840 Adobe Dr,Fremont CA 94536,"$979,000",3,2,"1,148"
9,312 G St,Fremont CA 94536,"$795,000",2,1,966
10,37402 Parish Circle 71,Fremont CA 94538,"$600,000",2,2,942
11,36473 Sea Breeze Common,Fremont CA 94536,"$1,048,888",4,3,"1,753"
12,2909 Grapevine Ter,Fremont CA 94539,"$3,988,888",4,3,"3,351"
13,3761 Boswell Ter,Fremont CA 94536,"$549,900",2,1,900
14,1595 Vernal Ave,Fremont CA 94539,"$1,400,000",4,2,"1,869"
15,463 Scott St,Fremont CA 94539,"$1,178,000",3,1,"1,245"
16,39640 Iolani,Fremont CA 94538,"$955,000",3,2,"1,483"
17,5190 Tacoma Cmn,Fremont CA 94555,"$724,500",2,2,950
18,5439 Buchanan Place,Fremont CA 94538,"$1,271,000",,,
19,4686 Eggers Dr,Fremont CA 94536,"$1,425,000",4,3,"2,084"
20,37485 SOUTHWOOD Dr,Fremont CA 94536,"$849,950",3,2,"1,119"
21,37401 SOUTHWOOD Dr,Fremont CA 94536,"$949,950",3,2,"1,380"
22,39767 Bissy Common,Fremont CA 94538,"$550,000",2,2,"1,189"
23,39767 Bissy Common,Fremont CA 94538,"$550,000",2,2,"1,189"
24,39767 Bissy Common,Fremont CA 94538,"$550,000",2,2,"1,189"
25,39948 Burr Avemue,Fremont CA 94538,"$925,000",4,2,"1,302"
26,39948 Burr Avemue,Fremont CA 94538,"$925,000",4,2,"1,302"
27,Mill Creek Rd,Fremont CA 94539,"$2,200,000",,,
28,2848 BARRINGTON Terr,Fremont CA 94536,"$649,850",2,3,"1,376"
29,37020 LASSEN St,Fremont CA 94536,"$629,950",4,2,"1,587"
30,1357 MOWRY Ave,Fremont CA 94536,"$779,000",5,,"2,306"
31,3101 Driscoll RD,Fremont CA 94539,"$3,288,000",,,"4,990"
32,3101 Driscoll RD,Fremont CA 94539,"$3,288,000",9,5,"4,990"
33,3173 Washington BLVD,Fremont CA 94539,"$1,300,000",3,2,"1,166"
34,115 Branta CMN,Fremont CA 94539,"$1,148,888",3,3,"1,792"
35,41600 Carol TER,Fremont CA 94538,"$885,000",3,2,"1,332"
36,3909 Stevenson BLVD 8D,Fremont CA 94538,"$749,000",2,2,"1,480"
37,4111 Greenland TER,Fremont CA 94555,"$688,000",3,1,"1,166"
38,3518 Knollwood TER 104,Fremont CA 94536,"$589,000",2,2,981
39,39059 Guardino DR 106,Fremont CA 94538,"$449,000",1,1,693
